No of indents,Hardness (GPa),Reduced Young Modulus (GPa),Young Modulus (GPa),Stiffness (uN/nm
141,2.75808097364964,311.431212559495,389.207039678511,701.780533189973
142,3.22029287228583,134.916199418945,139.162591502732,281.358059404094
143,3.26081444945388,106.332393083209,106.662576615868,220.366380393295
144,3.75614299278702,56.9949390498088,54.5808222246839,110.054366932114
145,2.67739318452187,302.246051137188,373.614149128864,691.267770916249
146,2.66973139734671,315.721230194728,396.608101470943,723.122096045347
147,2.03879597976559,319.552219828226,403.28223094608,837.527037626495
148,2.92686057222299,323.069494063619,409.464564871543,706.704723889375
149,3.05272655557153,353.92349303099,466.051320091435,758.066374741182
150,2.58536574042101,272.709063664006,325.695970773741,634.718598728456
151,2.69380438968772,120.10178472319,122.092321007089,273.848037897474
152,2.99075247403162,92.1488987609341,91.190525294895,199.408594454682
153,3.68728931621571,48.9430912336516,46.5259002927826,95.3852122682283
154,3.3317338648824,285.115152226067,345.421822845264,584.556225463813
155,4.28272220431754,284.302599712204,344.112462782253,514.119681456201
156,2.754580301783,322.877496636317,409.125725864213,728.037629788616
157,3.02756504018984,324.06414239432,411.222465784868,696.990203447021
158,2.70072208659203,346.124177825101,451.334761041109,788.197242815668
159,3.09567444493385,288.334669074362,350.634204384572,613.285753762435
160,2.55532332813615,156.879832286948,165.412112593323,367.272140227941
161,2.26747033630667,88.9600346088109,87.7691467534401,221.089225420061
162,2.55570363470665,33.8069254417299,31.6997584508817,79.1397228817996
163,1.33407791764825,-23.3494954312094,-20.823621051622,-75.6535060024042
164,2.59211086751401,151.482348624367,158.853892792535,352.110049364157
165,2.65846360193932,107.188259361073,107.609719027696,246.023077896021
166,3.32558488342137,139.428072702791,144.461365571582,286.127586388822
167,2.52306628013147,259.206915100885,304.854860849691,610.694550415712
168,2.50997084279757,175.113436971029,188.106333666432,413.64506845344
169,3.39397636427512,65.4077847360613,63.1251589442897,132.86740366695
170,4.14078978037516,61.6884402564644,59.3313250378794,113.450309457979
171,3.26505340035243,46.0327868947397,43.6435098729977,95.3377857862714
172,3.60364424369466,298.492667050354,367.339658896944,588.442541087853
173,3.0465312176721,295.454045414134,362.300610717283,633.475246116995
174,2.69790754487495,340.430410940808,440.771208293678,775.636112174791
175,2.77062924947096,293.811513868125,359.591714803217,660.576750099425
176,3.25237308371513,322.33355022217,408.166621841082,668.879037587817
177,2.9951852293277,255.798773826947,299.694231562989,553.135072261755
178,3.39617118777071,102.732613306712,102.69590882485,208.620104643325
179,3.19985946475712,78.6668974417313,76.865039083482,164.577493513892
180,2.98916430603383,46.3676259721095,43.9743603890744,100.364895662126
181,3.09161628729381,294.274664741533,360.354494334127,626.330260068543
182,2.59119165476588,317.140968861036,399.07428966082,737.304143244045
183,2.34215994088399,443.382071243249,658.22955536959,1084.20794006065
184,3.35157028632113,343.089237070449,445.6854301323,701.3353170726
185,2.98490047649126,380.713151304406,518.886694266027,824.662877634646
186,2.67313961336478,299.993407699824,369.841747164736,686.665660077197
187,2.96170579299171,113.401316636562,114.532471093524,246.598421478623
188,3.49096879331772,103.698573324378,103.757628389324,207.703830452451
189,3.13253968977426,40.2048793376727,37.9171276714049,85.0106024472673
190,2.6973430112266,291.115400293022,355.16780697681,663.347064611136
191,2.17505936311682,286.563636046454,347.762076168247,727.157008815709
192,2.16485947098182,376.119832789467,509.566299906415,956.652006244884
193,2.74072882368397,312.155993397907,390.452069954858,705.639719674185
194,2.3010106789961,314.102219766498,393.806041553888,774.916482200367
195,2.15502256402595,317.374529132584,399.480810518014,809.074393541784
196,2.58116749350317,134.579149498358,138.768656247863,313.48194316566
197,3.73895207347579,101.452999736903,101.292466705775,196.351796329278
198,2.65638622537366,54.100169449925,51.6712652771241,124.221484142561
199,2.70219536172738,294.891342530488,361.371411910043,671.344524927102
200,2.52796251155841,307.673863577598,382.787180937886,724.184050167609
201,2.71577669325991,368.774264989424,494.890330245061,837.446269506211
202,2.83528439869217,422.650457852188,609.459373291508,939.346966067646
203,2.77305320195099,334.929673486802,430.706703778586,752.692681978905
204,2.57115537662383,251.570975316216,293.347148925974,587.135721479442
205,3.14414860083096,117.655402346001,119.320750451702,248.315520673813
206,2.81551820869739,98.0653643344763,97.5935627756653,218.715075694443
207,11.146932538483,86.1324896591768,84.7526601813294,96.5454588847784
208,2.93632186373652,275.724852554881,330.439353958216,602.16833695746
209,2.74326191961981,282.026792492991,340.458305682685,637.236455131504
210,2.92622632313908,328.261346166434,418.687551843165,718.139999861308
211,2.54319782094872,386.334141071678,530.445793111656,906.601453084888
212,2.5024215895693,332.360407283548,426.052455918504,786.27061937327
213,2.56074907545237,316.053811265644,397.185061602673,739.129594660211
214,2.69325688286801,145.466739178979,151.628027613207,331.717726941803
215,2.86412306263975,111.167978479298,112.034453350244,245.825405830967
216,8.64749385296332,74.1130732493223,72.1077574319794,94.3174097675071
217,2.72736105413497,284.510685226501,344.447539715676,644.721645481072
218,3.51139064887621,260.04721426329,306.133351390684,519.344144068946
219,3.40513240140489,308.128783229785,383.561397950349,624.897492880758
220,3.52932042409641,308.215342642382,383.708806626341,613.975297597069
221,2.50896299275553,331.014892585668,423.626758113195,782.064024553731
222,5.18838593202087,309.459264268945,385.830547093015,508.42863145209
223,2.98135844306573,142.277931339939,147.83281557452,308.37156990413
224,2.50016651183289,110.015909809228,110.750062069065,260.383800273556
225,6.05170582212606,78.3271473835709,76.5087081412407,119.156135320123
226,2.90840699331778,300.169431676267,370.135802652589,658.690491212356
227,2.44223331840644,310.840349113529,388.193652692425,744.36533340241
228,2.98146501813991,327.426262135797,417.196180127754,709.646209780751
229,3.83982671411529,230.954562843349,263.236967479093,441.074628889461
230,2.23035901582549,323.878394684927,410.893859699647,811.594041940828
231,2.36881001189445,288.775157886091,351.350399782943,702.163407794917
232,2.23212772680208,135.954419668097,140.377689404634,340.546153314181
233,2.67433605018459,92.7782134856055,91.8681748409833,212.314857092875
234,5.87669668899165,53.0150003219009,50.5845258497749,81.8416578821176
235,3.23765793592267,295.81564491228,362.898374275969,615.246300536282
236,2.75487668709953,347.777422038948,454.430243221787,784.14009425039
237,2.59009048918441,343.195472000826,445.882457304643,798.045457398284
238,7.37305110663318,249.555684217189,290.342724980413,343.943454017594
239,2.55839041276479,336.225925086556,433.066089242217,786.666894621763
240,3.70035453009979,301.131213462367,371.744664520827,585.840787383961
241,2.80377561108452,114.831314270817,116.13762644543,256.645257275949
242,4.27362820088312,97.5465229449971,97.0291598899454,176.586022508202
243,3.33624320715774,38.7389498564059,36.4862270657848,79.371154788817
244,0.12643896934871,0.335446397589557,0.305345614849437,3.53013290054032
245,3.34168341525759,150.490902168409,157.656968640407,308.084836250681
246,2.69821813509613,108.971987122751,109.588703455105,248.267668613381
247,2.40287990172881,107.900524520976,108.399136720767,260.495998222222
248,2.79755164750962,166.580220671102,177.380344135378,372.715339866531
249,2.7027747761863,134.826277375862,139.057467242209,306.911493074775
250,3.11643521740104,74.0951245127509,72.0890867771711,157.074089967459
251,3.08064695952628,60.629574620863,58.2560094769459,129.273003940888
252,2.73644397126976,43.4851122126152,41.1327666073166,98.3761833576195
253,2.67788890692759,295.504597592943,362.384148426459,675.789594129676
254,2.73282994882214,354.479132478924,467.110830658965,802.466585984294
255,2.59203403124694,349.963674479046,458.54346664232,813.478044669013
256,2.55758726313114,319.219706850924,402.700493629958,746.995925099294
257,2.84698752700806,337.263627830374,434.960327892713,748.032344980772
258,2.76215447745235,196.734960811365,216.147607828678,442.997458372661
259,3.64247073244115,92.1245509979885,91.1643237577208,180.643058504233
260,2.89519948900469,88.5148194878873,87.2931111549722,194.679490134487
261,2.92209846155376,48.5425199122216,46.1282634302656,106.272064106702
262,2.79216663525497,302.115660325738,373.395240029167,676.621078636286
263,2.59951795766898,319.117546715725,402.521856671001,740.707112177423
264,2.88756309272965,384.315078049114,526.274113111661,846.379252441094
265,2.71824973340907,354.662847976317,467.461472541445,805.037650847575
266,2.63082848215064,340.072188952897,440.111598017499,784.638292374353
267,2.75036089868463,312.665681635769,391.328911240216,705.55398843236
268,2.74874847392834,143.197957532018,148.925321568353,323.231735712688
